title,company,location,skills,link,salary_min,salary_max,mid_salary,is_remote,has_english
System Analyst,Link Group,Zdalnie,"['Business Analysis', 'BPMN', 'UML', 'SQL']",/pl/job/system-analyst-link-group-remote-2,18000.0,22500.0,20250.0,True,False
System Analyst,Scalo,Zdalnie,"['Data', 'UML', 'BPMN', 'SQL']",/pl/job/system-analyst-scalo-remote-54,21840.0,23520.0,22680.0,True,False
Analityk/-czka Systemowo-Biznesowy/-a - Salesforce Sales Cloud (B2B),T-Mobile Polska,Warszawa,"['Business Analysis', 'Salesforce', 'Cloud', 'OSI']",/pl/job/analityk-czka-systemowo-biznesowy-a-salesforce-sales-cloud-b2b-t-mobile-polska-warszawa,,,,False,False
IT System Analyst (Senior),Sieć Badawcza Łukasiewicz - Poznański Instytut Technologiczny,Poznań,"['Business Analysis', 'UML', 'Enterprise Architect', 'System analysis']",/pl/job/it-system-analyst-senior-siec-badawcza-lukasiewicz-poznanski-instytut-technologiczny-poznan,,,,False,False
System Analyst,Scalo,Zdalnie,"['Data', 'UML', 'BPMN', 'PostgreSQL']",/pl/job/system-analyst-scalo-remote-52,23520.0,25200.0,24360.0,True,False
System Analyst,Scalo,Warszawa,"['Data', 'Data pipelines', 'SQL', 'GCP']",/pl/job/system-analyst-scalo-warszawa-43,16800.0,18480.0,17640.0,False,False
System Analyst,Diverse CG Sp. z o.o. Sp.k.,Zdalnie,"['Business Analysis', 'System analysis', 'UML', 'angielski']",/pl/job/system-analyst-diverse-cg-sp-k--remote,23520.0,26040.0,24780.0,True,True
System Analyst,Scalo,Zdalnie,"['Data', 'SQL', 'REST API', 'Excel']",/pl/job/system-analyst-scalo-remote-46,16800.0,18480.0,17640.0,True,False
System Analyst – sektor bankowy (f/m/x),Sii Polska,Zdalnie,"['Business Analysis', 'UML', 'BPMN', 'Sparx Systems Enterprise Architect']",/pl/job/system-analyst-sektor-bankowy-f-m-x-sii-polska-remote-2,18000.0,23000.0,20500.0,True,False
System Analyst,Scalo,Zdalnie,"['Data', 'API', 'REST API', 'Kafka']",/pl/job/system-analyst-scalo-remote-53,23520.0,25200.0,24360.0,True,False
System Analyst,Scalo,Poznań,"['Data', 'Enterprise Architect', 'UML', 'BPMN']",/pl/job/system-analyst-scalo-poznan-28,22680.0,24360.0,23520.0,False,False
QA and SDLC Control Analyst  NOWA,Mindbox Sp. z o.o.,Kraków,"['Business Analysis', 'Business Analyst', 'SDLC', 'QA']",/pl/job/qa-and-sdlc-control-analyst-mindbox-krakow,23100.0,29400.0,26250.0,False,False
Control Analyst,Mindbox Sp. z o.o.,Kraków,"['Data', 'Business Analyst', 'Audits', 'Excel']",/pl/job/control-analyst-mindbox-krakow,25200.0,29400.0,27300.0,False,False
Cyber SDLC Governance Analyst,Antal,Kraków,"['Business Analysis', 'Business Analyst', 'IT Control Analyst', 'Change Analyst']",/pl/job/cyber-sdlc-governance-analyst-antal-krakow,,,,False,False
Senior Product Analyst  NOWA,Link Group,Zdalnie,"['Business Analysis', 'Pharma R&D', 'Procesy laboratoryjne', 'Zarządzanie danymi naukowymi']",/pl/job/senior-product-analyst-link-group-remote,19656.0,25200.0,22428.0,True,False
Senior Product Analyst  NOWA,Upvanta,Zdalnie,"['Product Management', 'GXP', 'UAT', 'Jira']",/pl/job/senior-product-analyst-upvanta-remote,24150.0,26880.0,25515.0,True,False
